header
Year, Week, SMN, SMT, VCI, TCI, VHI, empty
2000, 1, 0.1, 0.2, 0.3, 0.4, 10.60, 
2000, 2, 0.1, 0.2, 0.3, 0.4, 57.17, 
2000, 3, 0.1, 0.2, 0.3, 0.4, 77.34, 
2000, 4, 0.1, 0.2, 0.3, 0.4, 33.54, 
2000, 5, 0.1, 0.2, 0.3, 0.4, 47.36, 
2000, 6, 0.1, 0.2, 0.3, 0.4, 67.87, 
2000, 7, 0.1, 0.2, 0.3, 0.4, 19.37, 
2000, 8, 0.1, 0.2, 0.3, 0.4, 96.57, 
2000, 9, 0.1, 0.2, 0.3, 0.4, 40.72, 
2000, 10, 0.1, 0.2, 0.3, 0.4, 51.39, 
2000, 11, 0.1, 0.2, 0.3, 0.4, 94.62, 
2000, 12, 0.1, 0.2, 0.3, 0.4, 90.26, 
2000, 13, 0.1, 0.2, 0.3, 0.4, 8.82, 
2000, 14, 0.1, 0.2, 0.3, 0.4, 54.88, 
2000, 15, 0.1, 0.2, 0.3, 0.4, 95.13, 
2000, 16, 0.1, 0.2, 0.3, 0.4, 25.09, 
2000, 17, 0.1, 0.2, 0.3, 0.4, 13.63, 
2000, 18, 0.1, 0.2, 0.3, 0.4, 52.72, 
2000, 19, 0.1, 0.2, 0.3, 0.4, 88.73, 
2000, 20, 0.1, 0.2, 0.3, 0.4, 20.68, 
2000, 21, 0.1, 0.2, 0.3, 0.4, 78.87, 
2000, 22, 0.1, 0.2, 0.3, 0.4, 11.49, 
2000, 23, 0.1, 0.2, 0.3, 0.4, 46.69, 
2000, 24, 0.1, 0.2, 0.3, 0.4, 72.76, 
2000, 25, 0.1, 0.2, 0.3, 0.4, 67.30, 
2000, 26, 0.1, 0.2, 0.3, 0.4, 24.84, 
2000, 27, 0.1, 0.2, 0.3, 0.4, 6.28, 
2000, 28, 0.1, 0.2, 0.3, 0.4, 3.81, 
2000, 29, 0.1, 0.2, 0.3, 0.4, 5.85, 
2000, 30, 0.1, 0.2, 0.3, 0.4, 66.21, 
